TANGLISH_NAME,TAMIL_NAME,QUANTITY,SELLING_PRICE,QUANTITY_TYPE,CATEGORY
MANGO PICKLE,மாங்காய் ஊறுகாய்,8,200,Piece,TREEYAA
COCONUT OIL,தேங்காய் எண்ணெய்,8,300,Kg,PROVISIONS
WHEAT WHOLE,கோதுமை முழு,8,110,Kg,PROVISIONS
WHEAT FLOUR,கோதுமை மாவு,8,90,Kg,PROVISIONS
RAW BANANA,பச்சை வாழைப்பழம்,8,10,Kg,VEG
DRUMSTICK,முருங்கைக்காய்,8,10,Kg,VEG
NANARI SARBATH,நானாரி சர்பத்,8,150,Kg,PROVISIONS
CORN YELLOW,கார்ன் மஞ்சள்,8,120,Kg,PROVISIONS
GUNDU GREEN CHILLI,குண்டு பச்சை மிளகாய்,8,200,Kg,VEG
WATERMELON [ KIRAN ],தர்பூசணி [ கிரண் ],8,70,Kg,FRUITS
WATER MELON [ NADU ],நீர் முலாம்பழம் [ நாடு ],8,60,Kg,FRUITS
BARLEY,பார்லி,8,90,Kg,PROVISIONS
AMLA PICKLE,ஆம்லா ஊறுகாய்,0,800,Piece,PROVISIONS
KUTHIRAIVALLI BISCUITS,குதிரைவல்லி பிஸ்கட்,8,30,Kg,TREEYAA
MORINGA NOODLES,மோரிங்கா நூடுல்ஸ்,8,60,Piece,ASTRIYA
BLACK RICE NOODLES,கருப்பு அரிசி நூடுல்ஸ்,8,70,Piece,ASTRIYA
CHOLAM NOODLES,சோலம் நூடுல்ஸ்,8,60,Piece,PROVISIONS
PANAM KARKANDU POWDER,பனம் கற்கண்டு பொடி,8,700,Kg,ASTRIYA
CAULIFLOWER,காலிஃபிளவர்,8,120,Kg,VEG
KARAMANI,காராமணி,0,100,Kg,VEG
PALAK KEERAI,பாலக் கீரை,8,40,Piece,GREENS
CORIANDER LEAVES HILLS,கொத்தமல்லி மலைகளை விட்டு வெளியேறுகிறது,8,40,Piece,GREENS
PONNI FARM BOILED RICE,பொன்னி பண்ணை புழுங்கல் அரிசி,8,110,Kg,ASTRIYA
VENDHAYA KEERAI,வெண்தாய கீரை,8,30,Piece,GREENS
GREEN GRAPES,பச்சை திராட்சைகள்,8,210,Kg,FRUITS
GOOSEBERRY,நெல்லிக்காய்,8,120,Kg,FRUITS
RADISH - RED,முள்ளங்கி - சிவப்பு,8,50,Kg,VEG
RADISH,முள்ளங்கி,8,80,Kg,VEG
SAMBAR CUCUMBER,சாம்பார் வெள்ளரிக்காய்,8,60,Kg,VEG
AVARAKAI,அவரகை,8,160,Kg,VEG
IVY GOURD - (KOVAIKAI),ஐவி பாக்கு - (கோவைகை),8,80,Kg,VEG
BOTTLE GOURD - (SURAIKAI),சுரைக்காய் - (சுரைக்காய்),8,80,Kg,VEG
RIDGE GOURD - (PEERKANKAI),ரிட்ஜ் கோர்ட் - (பீர்க்கங்காய்),8,100,Kg,VEG
POTATO,உருளைக்கிழங்கு,8,110,Kg,VEG
LEMON,எலுமிச்சை,8,240,Kg,VEG
YAM - (SENAI KILANGU),யாம் - (சேனை கிழங்கு),8,120,Kg,VEG
GREEN CHILLY - (MILAGAI),பச்சை மிளகாய் - (மிளகாய்),8,150,Kg,VEG
ASH GOURD,சாம்பல் பூசணி,8,80,Kg,VEG
YELLOW PUMKIN,மஞ்சள் பூசணிக்காய்,8,80,Kg,VEG
CABBAGE,முட்டைக்கோஸ்,8,80,Kg,VEG
SMALL ONION,சின்ன வெங்காயம்,8,110,Kg,VEG
TOMATO,தக்காளி,8,100,Kg,VEG
VINAYAGAR IDOL 12'',விநாயகர் சிலை 12'',8,750,Piece,ASTRIYA
VERMICELLI - KUTHIRAIVALLI,வெர்மிசெல்லி - குதிரைவல்லி,8,40,Kg,PROVISIONS
VERMICELLI - KAMBU,வெர்மிசெல்லி - கம்பு,8,60,Kg,PROVISIONS
VERMICELLI - MULTI MILLETS,வெர்மிசெல்லி - பல தினைகள்,8,40,Kg,PROVISIONS
VERMICELLI - SAMAI,வெர்மிசெல்லி - சாமை,8,40,Kg,PROVISIONS
VERMICELLI - VARAGU,வெர்மிசெல்லி - வரகு,8,40,Kg,PROVISIONS
VERMICELLI - THINNAI,வெர்மிசெல்லி - திண்ணை,8,40,Kg,PROVISIONS
VERMICELLI - RAGI,வெர்மிசெல்லி - ராகி,8,60,Kg,PROVISIONS
VALLARAI SEV,வல்லாரை செவி,8,520,Kg,SNACKS
THINAI MURUKKU,தினை முறுக்கு,8,560,Kg,SNACKS
THINAI LADDU,தினை லட்டு,8,600,Kg,SNACKS
THENKUZHAL MURUKKU,தென்குழல் முறுக்கு,8,640,Kg,SNACKS
THATTAI THINAI,தட்டை திணை,8,600,Kg,SNACKS
SPL MIXTURE,SPL கலவை,8,600,Kg,SNACKS
SEEDAI (SWEET),சீதை (இனிப்பு),8,700,Kg,SNACKS
REDCHILLI VADAMS,ரெட்சில்லி வடாம்ஸ்,8,350,Kg,PROVISIONS
RED BANANA CHIPS,சிவப்பு வாழைப்பழ சிப்ஸ்,8,600,Kg,SNACKS
RAGI MURUKKU,ராகி முறுக்கு,8,600,Kg,SNACKS
PUTHINA SEV,புதினா SEV,8,520,Kg,SNACKS
PULIYODARAI MIX,புளியோதரை கலவை,8,1000,Kg,PROVISIONS
POTATO CHIPS STRIPES,உருளைக்கிழங்கு சிப்ஸ் கோடுகள்,8,600,Kg,SNACKS
POTATO CHIPS SALT,உருளைக்கிழங்கு சிப்ஸ் உப்பு,8,600,Kg,SNACKS
POTATO CHIPS REGULAR,உருளைக்கிழங்கு சிப்ஸ் வழக்கமான,8,600,Kg,SNACKS
PEPPER SEV,மிளகு SEV,8,600,Kg,SNACKS
PALGOVA,பால்கோவா,8,800,Kg,SNACKS
ONION SEV,வெங்காயம் SEV,8,520,Kg,SNACKS
OMAM VADAMS,ஓமம் வடம்ஸ்,8,350,Kg,PROVISIONS
OMAM PODI,ஓமம் பொடி,8,600,Kg,SNACKS
NENTHIRAM CHIPS,நெந்திரம் சிப்ஸ்,8,640,Kg,SNACKS
NAVATHANIYAM MIXTURE,நவதனியம் கலவை,8,680,Kg,SNACKS
NATTUSAKKARAI PALGOVA,நாட்டுசக்கரை பால்கோவா,8,800,Kg,SNACKS
MURUKKU,முறுக்கு,8,680,Kg,SNACKS
MIXTURE SATTUR SEV (NG),கலவை சாத்தூர் SEV (NG),8,600,Kg,SNACKS
MIXTURE - SATTUR SEV,கலவை - சாத்தூர் SEV,8,600,Kg,SNACKS
MILLET MURUKKU,தினை முறுக்கு,8,600,Kg,SNACKS
MAPILLAI SAMBA RICE MURUKKU,மாப்பிள்ளை சம்பா அரிசி முறுக்கு,8,600,Kg,SNACKS
LITTLE MILLET MURUKKU,சிறிய தினை முறுக்கு,8,720,Kg,SNACKS
LADIES FINGER PAKODA,பெண்களின் விரல் பக்கோடா,8,400,Kg,SNACKS
LADDOO,லட்டு,8,600,Kg,TREEYAA
KEERAI PAKODA,கீரை பக்கோடா,8,520,Kg,SNACKS
KEELA NALLI,கீல நல்லி,8,30,Kg,GREENS
KAVUNI WHEAT HALWA,கவுனி கோதுமை அல்வா,8,800,Kg,SNACKS
KAVUNI KANJI MIX,கவுனி கஞ்சி கலவை,8,550,Kg,PROVISIONS
KARUPPATI LADOO,கருப்பட்டி லடூ,8,600,Kg,SNACKS
KARUPATTI WHEAT HALWA,கருப்பட்டி கோதுமை அல்வா,8,720,Kg,SNACKS
KARUPATTI MITTAI,கருப்பட்டி மிட்டாய்,8,560,Kg,SNACKS
KARUPATTI KAVUNI HALWA,கருப்பட்டி கவுனி ஹல்வா,8,800,Kg,SNACKS
KARUPATTI JANGIRI,கருப்பட்டி ஜாங்கிரி,8,720,Kg,TREEYAA
KARA BOONDI,காரா பூண்டி,8,600,Kg,TREEYAA
KAJU KATLI,காஜு கட்லி,8,1133,Kg,TREEYAA
JEERA VADAMS,ஜீரா வடம்ஸ்,8,350,Kg,TREEYAA
GREENCHILLI VADAMS,கிரீன்சில்லி வடாம்ஸ்,8,350,Kg,TREEYAA
GARLIC VADAMS,பூண்டு வடாம்கள்,8,350,Kg,PROVISIONS
ANDHRA THATAI,ஆந்திர தாய்,8,600,Kg,TREEYAA
ALOO BHUJIYA,ஆலு புஜியா,8,600,Kg,SNACKS
A2 GHEE MYSORE PA,A2 நெய் மைசூர் பா,8,800,Kg,SNACKS
RAW TURMERIC PICKLE,பச்சை மஞ்சள் ஊறுகாய்,8,1000,Piece,TREEYAA
PERUNGAYAM,பெருங்காயம்,8,120,Kg,ASTRIYA
MANKATTI THUVARAM PARUPU,மண்கட்டி துவரம் பருப்பு,8,260,Kg,PROVISIONS
AVAKKA MANGO PICKLE,அவக்கா மாங்காய் ஊறுகாய்,8,1000,Piece,PROVISIONS
BROWN RICE,பிரவுன் ரைஸ்,8,110,Kg,PROVISIONS
THOOYAMALLI IDYAPPAM FLOUR,தூயமல்லி இடியாப்பம் மாவு,8,200,Kg,PROVISIONS
